Name,Long,Lat,zongshuliang,fabing,siwang,shijian
安徽省滁州市凤阳县,117.56124,32.86722557,886,62,22,20181020
安徽省青阳县,117.84749,30.63935,8339,96,47,20181223
安徽省铜陵市义安区,117.79147,30.95271,219,63,23,20181024
安徽省芜湖市南陵县,118.33405,30.91465,489,198,84,20181018
安徽省宣城市宣州区,118.75634,30.94622,285,63,42,20181017
北京市房山区,116.14294,39.74788,11325,59,49,20190114
北京市顺义区,116.65477,40.13012,2461,53,26,20190121
北京市通州区,116.65714,39.90998,9835,85,17,20190115
福建省南平市延平区,118.18202,26.63798,5776,35,11,20190207
福建省莆田市城厢区,118.99472,25.41878,4521,85,85,20181222
福建省三明市尤溪县,118.19049,26.17004,11950,27,27,20190201
甘肃省庆阳市庆城县,107.88248,36.01526,109,44,9,20190228
广东省广州市黄埔区,113.48067,23.18139,6027,30,9,20190203
广东省惠州市博罗县,114.28973,23.17315,90,11,11,20190206
广东省珠海市香洲区,113.54342,22.26666,50,11,11,20190111
广西壮族自治区北海市,109.12008,21.48112,23555,1629,924,20190409
广西壮族自治区贵港市,109.59764,23.11306,3172,24,20,20190425
贵州省毕节市,105.30504,27.29847,59,33,33,20181213
贵州省贵阳市白云区,106.62298,26.67865,26,5,5,20190124
贵州省黔南州龙里县,106.97981,26.45325,156,42,42,20190203
河北省保定市徐水区,115.66024,39.01397,5600,107,107,20190413
河南省新乡市获嘉县,113.65716,35.25962,2087,148,64,20181031
河南省郑州市经济开发区,113.74233,34.72013,260,30,30,20181001
黑龙江省鸡西市鸡冠区,130.98084,45.30412,84,24,24,20190128
黑龙江省佳木斯市,130.31882,46.79977,203,26,10,20181113
黑龙江省绥化市明水县,125.906,47.17332,73000,4686,3766,2019226
黑龙省哈尔滨市道外区,126.651024,45.786602,900,269,900,20190107
湖北省黄冈市浠水县,115.26551,30.45184,636,24,13,20190103
湖北省黄石市阳新县,115.2153,29.83039,63,9,9,20190110
湖北省罗田县,115.39927,30.78399,821,22,4,20181226
湖北省武穴市,115.5613,29.84433,147,7,6,20181230
湖南省常德市,111.69854,29.03158,7684,106,99,20181217
湖南省常德市桃源县,111.48893,28.90259,268,208,31,20181217
湖南省怀化市鹤城区,110.04098,27.57771,73,61,55,20190105
湖南省怀化市沅陵县,110.39388,28.45277,144,25,22,20181217
湖南省娄底市涟源市,111.66446,27.69271,9,4,1,20181223
湖南省湘西土家族苗族自治州保靖县,109.66054,28.70001,119,11,4,20181220
湖南省益阳市,112.35516,28.55391,546,44,17,20181207
湖南省永州市,111.61225,26.42034,4600,270,171,20190223
吉林省公主岭市南崴子镇,124.74417,43.46209,484,56,56,20181101
吉林省松原市长岭县,123.9673,44.27591,44,8,3,20181109
吉林省延边朝鲜族自治州龙井市,129.42641,42.76587,930,144,144,20181220
江苏省泗阳县,118.70335,33.72101,68969,2452,1396,20190228
江苏省无锡市宜兴市,119.82346,31.34042,97,12,12,20181017
江西省九江市柴桑区,115.91135,29.60855,159,16,4,20190110
江西省上饶市鄱阳县,116.70343,29.00563,150,10,10,20181229
江西省上饶市万年县,117.05839,28.69466,154,49,49,20181223
辽宁省鞍山市,122.9946,41.10777,460,160,160,20181127
辽宁省大连市,121.61476,38.91369,1353,20,11,20181125
